POINT_ID,BARANGAY_NAME,X,Y,YEAR,FLOOD_RECURRENT
Balaba_30,Balaba,558363.6119399429,1472403.7055183144,2016,0
Balaba_30,Balaba,558363.6119399429,1472403.7055183144,2017,0
Balaba_30,Balaba,558363.6119399429,1472403.7055183144,2018,0
Balaba_30,Balaba,558363.6119399429,1472403.7055183144,2019,0
Balaba_30,Balaba,558363.6119399429,1472403.7055183144,2020,1
Balaba_30,Balaba,558363.6119399429,1472403.7055183144,2021,0
Balaba_30,Balaba,558363.6119399429,1472403.7055183144,2022,0
Balaba_30,Balaba,558363.6119399429,1472403.7055183144,2023,0
Balaba_30,Balaba,558363.6119399429,1472403.7055183144,2024,1
Balaba_31,Balaba,559362.2114339003,1472716.6094496883,2010,0
Balaba_31,Balaba,559362.2114339003,1472716.6094496883,2011,0
Balaba_31,Balaba,559362.2114339003,1472716.6094496883,2012,0
Balaba_31,Balaba,559362.2114339003,1472716.6094496883,2013,0
Balaba_31,Balaba,559362.2114339003,1472716.6094496883,2014,0
Balaba_31,Balaba,559362.2114339003,1472716.6094496883,2015,0
Balaba_31,Balaba,559362.2114339003,1472716.6094496883,2016,0
Balaba_31,Balaba,559362.2114339003,1472716.6094496883,2017,0
Balaba_31,Balaba,559362.2114339003,1472716.6094496883,2018,0
Balaba_31,Balaba,559362.2114339003,1472716.6094496883,2019,0
Balaba_31,Balaba,559362.2114339003,1472716.6094496883,2020,1
Balaba_31,Balaba,559362.2114339003,1472716.6094496883,2021,0
Balaba_31,Balaba,559362.2114339003,1472716.6094496883,2022,0
Balaba_31,Balaba,559362.2114339003,1472716.6094496883,2023,0
Balaba_31,Balaba,559362.2114339003,1472716.6094496883,2024,1
Balaba_32,Balaba,557480.6603574031,1472495.3333911058,2010,0
Balaba_32,Balaba,557480.6603574031,1472495.3333911058,2011,0
Balaba_32,Balaba,557480.6603574031,1472495.3333911058,2012,0
Balaba_32,Balaba,557480.6603574031,1472495.3333911058,2013,0
Balaba_32,Balaba,557480.6603574031,1472495.3333911058,2014,0
Balaba_32,Balaba,557480.6603574031,1472495.3333911058,2015,0
Balaba_32,Balaba,557480.6603574031,1472495.3333911058,2016,0
Balaba_32,Balaba,557480.6603574031,1472495.3333911058,2017,0
Balaba_32,Balaba,557480.6603574031,1472495.3333911058,2018,0
Balaba_32,Balaba,557480.6603574031,1472495.3333911058,2019,0
Balaba_32,Balaba,557480.6603574031,1472495.3333911058,2020,1
Balaba_32,Balaba,557480.6603574031,1472495.3333911058,2021,0
Balaba_32,Balaba,557480.6603574031,1472495.3333911058,2022,0
Balaba_32,Balaba,557480.6603574031,1472495.3333911058,2023,0
Balaba_32,Balaba,557480.6603574031,1472495.3333911058,2024,1
Balaba_33,Balaba,558325.0032139346,1472004.5686378449,2010,0
Balaba_33,Balaba,558325.0032139346,1472004.5686378449,2011,0
Balaba_33,Balaba,558325.0032139346,1472004.5686378449,2012,0
Balaba_33,Balaba,558325.0032139346,1472004.5686378449,2013,0
Balaba_33,Balaba,558325.0032139346,1472004.5686378449,2014,0
Balaba_33,Balaba,558325.0032139346,1472004.5686378449,2015,0
Balaba_33,Balaba,558325.0032139346,1472004.5686378449,2016,0
Balaba_33,Balaba,558325.0032139346,1472004.5686378449,2017,0
Balaba_33,Balaba,558325.0032139346,1472004.5686378449,2018,0
Balaba_33,Balaba,558325.0032139346,1472004.5686378449,2019,0
Balaba_33,Balaba,558325.0032139346,1472004.5686378449,2020,1
Balaba_33,Balaba,558325.0032139346,1472004.5686378449,2021,0
Balaba_33,Balaba,558325.0032139346,1472004.5686378449,2022,0
Balaba_33,Balaba,558325.0032139346,1472004.5686378449,2023,0
Balaba_33,Balaba,558325.0032139346,1472004.5686378449,2024,1
Balaba_34,Balaba,558237.1782031485,1472066.5673574281,2010,0
Balaba_34,Balaba,558237.1782031485,1472066.5673574281,2011,0
Balaba_34,Balaba,558237.1782031485,1472066.5673574281,2012,0
Balaba_34,Balaba,558237.1782031485,1472066.5673574281,2013,0
Balaba_34,Balaba,558237.1782031485,1472066.5673574281,2014,0
Balaba_34,Balaba,558237.1782031485,1472066.5673574281,2015,0
Balaba_34,Balaba,558237.1782031485,1472066.5673574281,2016,0
Balaba_34,Balaba,558237.1782031485,1472066.5673574281,2017,0
Balaba_34,Balaba,558237.1782031485,1472066.5673574281,2018,0
Balaba_34,Balaba,558237.1782031485,1472066.5673574281,2019,0
Balaba_34,Balaba,558237.1782031485,1472066.5673574281,2020,1
Balaba_34,Balaba,558237.1782031485,1472066.5673574281,2021,0
Balaba_34,Balaba,558237.1782031485,1472066.5673574281,2022,0
Balaba_34,Balaba,558237.1782031485,1472066.5673574281,2023,0
Balaba_34,Balaba,558237.1782031485,1472066.5673574281,2024,1
Balaba_35,Balaba,558329.3189256474,1471550.8303818891,2010,0
Balaba_35,Balaba,558329.3189256474,1471550.8303818891,2011,0
Balaba_35,Balaba,558329.3189256474,1471550.8303818891,2012,0
Balaba_35,Balaba,558329.3189256474,1471550.8303818891,2013,0
Balaba_35,Balaba,558329.3189256474,1471550.8303818891,2014,0
Balaba_35,Balaba,558329.3189256474,1471550.8303818891,2015,0
Balaba_35,Balaba,558329.3189256474,1471550.8303818891,2016,0
Balaba_35,Balaba,558329.3189256474,1471550.8303818891,2017,0
Balaba_35,Balaba,558329.3189256474,1471550.8303818891,2018,0
Balaba_35,Balaba,558329.3189256474,1471550.8303818891,2019,0
Balaba_35,Balaba,558329.3189256474,1471550.8303818891,2020,1
Balaba_35,Balaba,558329.3189256474,1471550.8303818891,2021,0
Balaba_35,Balaba,558329.3189256474,1471550.8303818891,2022,0
Balaba_35,Balaba,558329.3189256474,1471550.8303818891,2023,0
Balaba_35,Balaba,558329.3189256474,1471550.8303818891,2024,1
Balaba_36,Balaba,559379.7879505788,1472728.2756963985,2010,0
Balaba_36,Balaba,559379.7879505788,1472728.2756963985,2011,0
Balaba_36,Balaba,559379.7879505788,1472728.2756963985,2012,0
Balaba_36,Balaba,559379.7879505788,1472728.2756963985,2013,0
Balaba_36,Balaba,559379.7879505788,1472728.2756963985,2014,0
Balaba_36,Balaba,559379.7879505788,1472728.2756963985,2015,0
Balaba_36,Balaba,559379.7879505788,1472728.2756963985,2016,0
Balaba_36,Balaba,559379.7879505788,1472728.2756963985,2017,0
Balaba_36,Balaba,559379.7879505788,1472728.2756963985,2018,0
Balaba_36,Balaba,559379.7879505788,1472728.2756963985,2019,0
Balaba_36,Balaba,559379.7879505788,1472728.2756963985,2020,1
Balaba_36,Balaba,559379.7879505788,1472728.2756963985,2021,0
Balaba_36,Balaba,559379.7879505788,1472728.2756963985,2022,0
Balaba_36,Balaba,559379.7879505788,1472728.2756963985,2023,0
Balaba_36,Balaba,559379.7879505788,1472728.2756963985,2024,1
Balaba_37,Balaba,559868.1993929681,1473396.7793016925,2010,0
Balaba_37,Balaba,559868.1993929681,1473396.7793016925,2011,0
Balaba_37,Balaba,559868.1993929681,1473396.7793016925,2012,0
Balaba_37,Balaba,559868.1993929681,1473396.7793016925,2013,0
Balaba_37,Balaba,559868.1993929681,1473396.7793016925,2014,0
Balaba_37,Balaba,559868.1993929681,1473396.7793016925,2015,0
Balaba_37,Balaba,559868.1993929681,1473396.7793016925,2016,0
Balaba_37,Balaba,559868.1993929681,1473396.7793016925,2017,0
Balaba_37,Balaba,559868.1993929681,1473396.7793016925,2018,0
Balaba_37,Balaba,559868.1993929681,1473396.7793016925,2019,0
Balaba_37,Balaba,559868.1993929681,1473396.7793016925,2020,1
Balaba_37,Balaba,559868.1993929681,1473396.7793016925,2021,0
Balaba_37,Balaba,559868.1993929681,1473396.7793016925,2022,0
Balaba_37,Balaba,559868.1993929681,1473396.7793016925,2023,0
Balaba_37,Balaba,559868.1993929681,1473396.7793016925,2024,1
Balaba_38,Balaba,557991.3108021623,1472323.6554989682,2010,0
Balaba_38,Balaba,557991.3108021623,1472323.6554989682,2011,0
Balaba_38,Balaba,557991.3108021623,1472323.6554989682,2012,0
Balaba_38,Balaba,557991.3108021623,1472323.6554989682,2013,0
Balaba_38,Balaba,557991.3108021623,1472323.6554989682,2014,0
